gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1410993843	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS405015465	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	White Mountains NF--Speckled Mtn. Trail	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.267236	-71.003791							2004-07-10T02:00Z	10	7	2004	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS405015465			CC0_1_0		obsr294601			2017-02-17T06:20Z		COORDINATE_ROUNDED
1410992342	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS405014606	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	Slide Mountain	e2e717bf-551a-4917-bdc9-4fa0f342c530	41.998611	-74.386389							2010-06-06T02:00Z	6	6	2010	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS405014606			CC0_1_0		obsr178683			2017-02-17T06:20Z		
1410766631	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_QC:OBS402061825	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	CA	Parc régional du Massif-du-Sud	e2e717bf-551a-4917-bdc9-4fa0f342c530	46.628837	-70.466586							2008-06-07T02:00Z	7	6	2008	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD_QC	OBS402061825			CC0_1_0		obsr521547			2017-02-17T06:20Z		COORDINATE_ROUNDED
1410762854	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_QC:OBS402061664	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	CA	Parc régional du Massif-du-Sud	e2e717bf-551a-4917-bdc9-4fa0f342c530	46.628837	-70.466586							2008-06-07T02:00Z	7	6	2008	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD_QC	OBS402061664			CC0_1_0		obsr374082			2017-02-17T06:20Z		COORDINATE_ROUNDED
1410627030	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS399395407	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	Tupper Lake	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.16696	-74.53792							2010-06-21T02:00Z	21	6	2010	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS399395407			CC0_1_0		obsr168824			2017-02-17T06:20Z		
1410608735	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS399735667	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	Mt. Washington	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.271323	-71.303019							1999-06-24T02:00Z	24	6	1999	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS399735667			CC0_1_0		obsr37316			2017-02-17T06:20Z		COORDINATE_ROUNDED
1410557036	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS398011341	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	Mt. Washington Auto Road at Signal Corps Site above 4 -000 foot marker	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.295125	-71.279776							2015-06-09T02:00Z	9	6	2015	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS398011341			CC0_1_0		obsr48101			2017-02-17T06:20Z		COORDINATE_ROUNDED
1410464729	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS395251497	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	White Mt. NF--Caps Ridge Trail	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.299398	-71.337199							2009-07-01T02:00Z	1	7	2009	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS395251497			CC0_1_0		obsr343081			2017-02-17T06:20Z		COORDINATE_ROUNDED
1410416207	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS395070364	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	Hunter Mt. Ski Resort	e2e717bf-551a-4917-bdc9-4fa0f342c530	42.204347	-74.210508							2009-06-06T02:00Z	6	6	2009	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS395070364			CC0_1_0		obsr113467			2017-02-17T06:20Z		COORDINATE_ROUNDED
1410280322	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS393190188	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	CA	Mt-Gosford	e2e717bf-551a-4917-bdc9-4fa0f342c530	45.29397	-70.883274							2013-08-23T02:00Z	23	8	2013	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS393190188			CC0_1_0		obsr626220			2017-02-17T06:20Z		COORDINATE_ROUNDED
1410229858	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS392346110	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	Franconia Notch SP--The Flume	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.096878	-71.680534							2011-07-10T02:00Z	10	7	2011	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS392346110			CC0_1_0		obsr134488			2017-02-17T06:20Z		COORDINATE_ROUNDED
1409929924	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS388761500	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	Avalanche Lake Trail	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.124609	-73.979359							1996-07-20T02:00Z	20	7	1996	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS388761500			CC0_1_0		obsr556494			2017-02-17T06:20Z		COORDINATE_ROUNDED
1409830661	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS389291305	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	Goodnow Mountain	e2e717bf-551a-4917-bdc9-4fa0f342c530	43.960082	-74.209854							2002-06-07T02:00Z	7	6	2002	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS389291305			CC0_1_0		obsr33073			2017-02-17T06:20Z		COORDINATE_ROUNDED
1408090448	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_QC:OBS380086652	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	CA	Domaine de Maizerets	e2e717bf-551a-4917-bdc9-4fa0f342c530	46.837652	-71.212155							2001-09-29T02:00Z	29	9	2001	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD_QC	OBS380086652			CC0_1_0		obsr436154			2017-02-17T06:20Z		COORDINATE_ROUNDED
1407949894	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS379389433	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	DO	Zapoten - Dominican Republic	e2e717bf-551a-4917-bdc9-4fa0f342c530	18.296676	-71.700039							2010-03-15T01:00Z	15	3	2010	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS379389433			CC0_1_0		obsr277194			2017-02-17T06:20Z		COORDINATE_ROUNDED
1407893536	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS378963795	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	Baxter SP	e2e717bf-551a-4917-bdc9-4fa0f342c530	45.975479	-68.935175							2013-07-18T02:00Z	18	7	2013	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS378963795			CC0_1_0		obsr119608			2017-02-17T06:20Z		COORDINATE_ROUNDED
1407887701	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS379004534	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	Baxter SP	e2e717bf-551a-4917-bdc9-4fa0f342c530	45.975479	-68.935175							2013-07-18T02:00Z	18	7	2013	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS379004534			CC0_1_0		obsr276243			2017-02-17T06:20Z		COORDINATE_ROUNDED
1407706311	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS377211265	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	Mt. Mansfield IBA	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.528164	-72.816124							2001-06-08T02:00Z	8	6	2001	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS377211265			CC0_1_0		obsr292835			2017-02-17T06:20Z		
1406958862	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_CAN:OBS372875387	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	CA	PN du Mt-Mégantic--Mt St-Joseph	e2e717bf-551a-4917-bdc9-4fa0f342c530	45.447545	-71.120086							1994-07-12T02:00Z	12	7	1994	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD_CAN	OBS372875387			CC0_1_0		obsr45017			2017-02-17T06:20Z		COORDINATE_ROUNDED
