parentEventID,eventID,occurenceID,individualCount,organsimQuantity,organsimQuantityType,scientificName,kingdom,phylum,class,taxonRank,dynamicProperties,,,,,,,,
10602-1,10602-1.4,10602-1.4-7,1,1,individuals,Turdus plumbeus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.4,10602-1.4-8,1,1,individuals,Vireo altiloquus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.4,10602-1.4-9,1,1,individuals,Zenaida asiatica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.4,10602-1.4-10,1,1,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
10602-1,10602-1.4,10602-1.4-11,1,1,individuals,Tiaris bicolor,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
10602-1,10602-1.4,10602-1.4-12,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.4,10602-1.4-13,1,1,individuals,Vireo altiloquus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.4,10602-1.4-14,1,1,individuals,Vireo latimeri,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-1,1,1,individuals,Tiaris bicolor,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-2,2,2,individuals,Coereba flaveola,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-3,2,2,individuals,Vireo altiloquus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-4,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-5,1,1,individuals,Loxigilla portoricensis,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-6,1,1,individuals,Vireo latimeri,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-7,1,1,individuals,Zenaida asiatica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-8,1,1,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-9,1,1,individuals,Coereba flaveola,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-10,1,1,individuals,Icterus icterus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-11,2,2,individuals,Zenaida aurita,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-12,1,1,individuals,Cathartes aura,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""Fly-over/Volandos""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-1,1,1,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-2,2,2,individuals,Coereba flaveola,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-3,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-4,1,1,individuals,Vireo altiloquus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-5,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-6,1,1,individuals,Tyrannus dominicensis,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-7,1,1,individuals,Loxigilla portoricensis,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-8,1,1,individuals,Myiarchus antillarum,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-9,2,2,individuals,Icterus icterus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-10,1,1,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-11,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-12,2,2,individuals,Zenaida aurita,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-13,1,1,individuals,Zenaida aurita,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""Fly-over/Volandos""}""",,,,,,,,
10602-2,10602-2.3,10602-2.3-1,4,4,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-2,10602-2.3,10602-2.3-2,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-2,10602-2.3,10602-2.3-3,2,2,individuals,Vireo altiloquus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.3,10602-2.3-4,1,1,individuals,Zenaida asiatica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.3,10602-2.3-5,1,1,individuals,Coereba flaveola,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
10602-2,10602-2.3,10602-2.3-6,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
10602-2,10602-2.3,10602-2.3-7,1,1,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-2,10602-2.3,10602-2.3-8,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-2,10602-2.3,10602-2.3-9,1,1,individuals,Loxigilla portoricensis,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-2,10602-2.3,10602-2.3-10,1,1,individuals,Icterus icterus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
