parentEventID,eventID,occurenceID,individualCount,organsimQuantity,organsimQuantityType,scientificName,kingdom,phylum,class,taxonRank,decimalLatitude,decimalLongitude,eventDate,samplingProtocol,sampleSizeValue,sampleSizeUnit,country,countryCode,geodeticDatum,dynamicProperties,,,,,,,,
10602-2,10602-2.2,10602-2.2-11,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:11,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-12,2,2,individuals,Zenaida aurita,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:11,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-13,1,1,individuals,Zenaida aurita,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:11,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""Fly-over/Volandos""}""",,,,,,,,
10602-2,10602-2.3,10602-2.3-1,4,4,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:15,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-2,10602-2.3,10602-2.3-2,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:15,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-2,10602-2.3,10602-2.3-3,2,2,individuals,Vireo altiloquus,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:15,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.3,10602-2.3-4,1,1,individuals,Zenaida asiatica,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:15,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.3,10602-2.3-5,1,1,individuals,Coereba flaveola,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:15,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
10602-2,10602-2.3,10602-2.3-6,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:15,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
10602-2,10602-2.3,10602-2.3-7,1,1,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:15,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
